2 1 530101 38.5 66.0 28.0 3 3 4 2 5 4 4 2 1 0 3 5 45.0 8.4 2 1.8 2 2 11300 0 0 2 
1 1 534817 39.2 88.0 20.0 2 1 4 1 3 4 2 1 1 2.0 4 2 50.0 85.0 2 2.0 3 2 2208 0 0 2 
2 1 530334 38.3 40.0 24.0 1 1 3 1 3 3 1 1 1 7.0 1 1 33.0 6.7 2 4.78 1 2 0 0 0 1 
1 9 5290409 39.1 164.0 84.0 4 1 6 2 2 4 4 1 2 5.0 3 3 48.0 7.2 3 5.3 2 1 2208 0 0 1 
2 1 530255 37.3 104.0 35.0 3 2 6 2 3 3 3 2 1 0 3 4 74.0 7.4 2 4.82 2 2 4300 0 0 2 
2 1 528355 38.1 48.5 20.8571428571 2 1 3 1 2 3 2 2 1 5.0 3 3 42.3333333333 7.4 1 5.0 1 2 0 0 0 2 
1 1 526802 37.9 48.0 16.0 1 1 1 1 3 3 3 1 1 5.0 3 5 37.0 7.0 2 1.6 1 1 3124 0 0 2 
1 1 529607 38.3375 60.0 28.1428571429 3 1 3 1 3 4 2 2 1 6.0 3 4 44.0 8.3 2 2.3 2 1 2208 0 0 2 
2 1 530051 38.1 80.0 36.0 3 4 3 1 4 4 4 2 1 4.5 3 5 38.0 6.2 1 2.9 3 1 3205 0 0 2 
2 9 5299629 38.3 90.0 40.2222222222 1 2 1 1 5 3 1 2 1 5.1 3 3 40.0 6.2 1 2.2 1 2 0 0 0 1 
1 1 528548 38.1 66.0 12.0 3 3 5 1 3 3 1 2 1 3.0 2 5 44.0 6.0 2 3.6 1 1 2124 0 0 1 
2 1 527927 39.1 72.0 52.0 2 2 2 1 2 1 2 1 1 5.25 4 4 50.0 7.8 3 3.95 1 1 2111 0 0 2 
1 1 528031 37.2 42.0 12.0 2 1 1 1 3 3 3 3 1 6.0 4 5 44.3125 7.0 2 1.5 1 2 4124 0 0 2 
2 9 5291329 38.0 92.0 28.0 1 1 2 1 1 3 2 3 1 7.2 1 1 37.0 6.1 1 3.66666666667 2 2 0 0 0 1 
1 1 534917 38.2 76.0 28.0 3 1 1 1 3 4 1 2 2 1.5 4 4 46.0 81.0 1 2.0 1 1 2112 0 0 2 
1 1 530233 37.6 96.0 48.0 3 1 4 1 5 3 3 2 3 4.5 4 4 45.0 6.8 1 4.16666666667 2 1 3207 0 0 2 
1 9 5301219 38.58 128.0 36.0 3 3 4 2 4 4 3 3 1 5.1 4 5 53.0 7.8 3 4.7 2 2 1400 0 0 1 
2 1 526639 37.5 48.0 24.0 1 1 1 1 2 2 1 1 1 5.5375 2 3 43.0 7.04 2 2.775 1 2 0 0 0 2 
1 1 5290481 37.6 64.0 21.0 1 1 2 1 2 3 1 1 1 5.02 2 5 40.0 7.0 1 3.66666666667 1 1 4205 0 0 1 
2 1 532110 39.4 110.0 35.0 4 3 6 1 3 3 3 1 1 1.5 2 3 55.0 8.7 3 2.66666666667 1 2 0 0 0 2 
